http://names.mongabay.com/data/13000.html
Name    Rank    Number of occurrences     Occurrences per 100,000 people     Cumulative proportion per 100,000 people     Percent Non-Hispanic White Only     Percent Non-Hispanic Black Only     Percent Non-Hispanic Asian and Pacific Islander Only     Percent Non-Hispanic American Indian and Alaskan Native Only     Percent Non-Hispanic of Two or More Races     Percent Hispanic Origin
LOHMAN     6845     4526     1.68     63795.03     94.83     0.99     0.71     0.57     0.88     2.01
BRASHEAR     6846     4525     1.68     63796.7     90.3     4.97     0.69     0.86     1.5     1.68
DUFOUR     6846     4525     1.68     63798.38     94.25     1.88     0.51     0.29     1.5     1.57
TREAT     6846     4525     1.68     63800.06     93.83     0.77     0.29     1.92     2.06     1.13
YEPEZ     6849     4524     1.68     63801.74     4.11     0.15     0.42     0.38     0.53     94.41
LAO     6850     4523     1.68     63803.41     4.55     0.62     80.81     0.11     3.12     10.79
MANIS     6850     4523     1.68     63805.09     95.62     1.19     0.4     0.44     1.13     1.22
MARS     6850     4523     1.68     63806.77     72.1     20.67     1.26     0.86     1.92     3.18
TELLES     6850     4523     1.68     63808.44     18.81     0.8     0.82     0.88     1.35     77.34
MACALUSO     6854     4522     1.68     63810.12     95.29     (S)     0.4     (S)     0.95     3.1
SHILLING     6854     4522     1.68     63811.79     95.36     1.08     0.46     0.8     1.19     1.11
TINGLE     6854     4522     1.68     63813.47     84.25     12.56     0.38     0.53     1.19     1.08
RIGNEY     6857     4521     1.68     63815.15     93.76     2.41     0.55     0.27     0.95     2.06
CLAIR     6858     4520     1.68     63816.82     86.84     8.52     1.33     0.82     1.22     1.28
MATSUMOTO     6858     4520     1.68     63818.5     6.08     (S)     83.5     (S)     7.59     2.52
AGOSTO     6860     4519     1.68     63820.17     10.51     2.26     (S)     (S)     0.51     86.17
DABBS     6861     4518     1.67     63821.85     80.21     15.07     0.46     1.04     1.79     1.42
HALBERT     6861     4518     1.67     63823.52     85.59     10.29     0.6     0.66     1.22     1.64
ECKSTEIN     6863     4517     1.67     63825.2     94.89     1.02     0.73     0.4     1.66     1.31
BERKLEY     6864     4514     1.67     63826.87     68.21     27     0.22     0.78     1.95     1.84
MERCURIO     6864     4514     1.67     63828.54     92.91     0.2     2.86     0.18     1.24     2.61
LANGAN     6866     4513     1.67     63830.22     95.06     0.55     0.49     1.24     1.42     1.24
PEACH     6866     4513     1.67     63831.89     93.68     2.22     0.66     0.71     1.2     1.53
WACHTER     6866     4513     1.67     63833.56     97.19     0.24     0.31     0.71     0.89     0.66
CARRENO     6869     4512     1.67     63835.23     8.36     0.27     0.13     0.16     0.27     90.82
LEPORE     6869     4512     1.67     63836.91     96.39     (S)     0.47     (S)     0.8     1.99
HOWIE     6871     4510     1.67     63838.58     79.8     16.47     0.24     0.49     1.33     1.66
THAXTON     6871     4510     1.67     63840.25     74.94     21.57     0.4     0.42     1.2     1.46
ARROWOOD     6873     4509     1.67     63841.92     96.87     0.18     0.31     0.67     1.22     0.75
ELDRED     6873     4509     1.67     63843.59     94.77     0.53     0.44     0.8     1.75     1.71
WEINBERGER     6873     4509     1.67     63845.27     95.85     0.18     0.24     0.64     1.77     1.31
HOOTEN     6876     4508     1.67     63846.94     83.74     13.07     0.27     0.49     1.35     1.09
FEASTER     6877     4507     1.67     63848.61     56.18     40.56     0.36     0.18     1.42     1.31
RAYMER     6877     4507     1.67     63850.28     93.9     1.82     0.42     0.53     1.53     1.8
BOSCO     6879     4505     1.67     63851.95     94.5     0.89     0.8     0.36     1     2.46
CATALDO     6880     4504     1.67     63853.62     94.78     (S)     0.47     (S)     1.31     3.04
FEARS     6881     4503     1.67     63855.29     49.19     45.08     0.51     0.78     2.4     2.04
ECKHARDT     6882     4502     1.67     63856.96     96.42     0.58     0.42     0.2     0.51     1.87
MULLINAX     6882     4502     1.67     63858.62     96.51     0.6     0.33     0.33     1.2     1.02
SPRATT     6882     4502     1.67     63860.29     75.99     20.06     0.4     1.02     1.13     1.4
LABOY     6885     4501     1.67     63861.96     10.89     2.69     0.64     0.18     0.96     84.65
MARSDEN     6886     4499     1.67     63863.63     92.87     2.53     0.58     1.29     1.53     1.2
CARLILE     6887     4498     1.67     63865.3     92.73     1.22     0.38     1.85     1.93     1.89
BUSTILLOS     6888     4496     1.67     63866.96     4.98     (S)     1.25     (S)     0.53     92.97
CRIM     6889     4495     1.67     63868.63     83.29     13.59     0.29     0.24     1.45     1.13
SURRATT     6889     4495     1.67     63870.3     73.73     22.67     0.27     0.36     1.87     1.11
KURTH     6891     4494     1.67     63871.96     97.06     0.42     0.33     0.18     0.73     1.27
GAUL     6892     4493     1.67     63873.63     93.57     3.27     0.67     0.31     0.71     1.47
MACHUCA     6893     4492     1.67     63875.29     4.59     0.38     0.31     (S)     (S)     94.35
ROLFE     6893     4492     1.67     63876.96     90.47     6.32     0.4     0.58     0.96     1.27
LOWER     6895     4491     1.66     63878.62     96.17     0.98     0.38     0.42     1.02     1.02
EDMISTON     6896     4490     1.66     63880.29     93.63     2.61     0.4     0.69     1.43     1.25
MILLSAP     6896     4490     1.66     63881.95     80.65     15.26     0.29     0.69     1.69     1.43
DEHAVEN     6898     4489     1.66     63883.62     96.7     0.91     0.49     0.11     0.53     1.25
RACINE     6899     4488     1.66     63885.28     86.21     5.15     0.45     4.17     1.89     2.14
CONEY     6900     4487     1.66     63886.94     30.78     65.7     0.22     0.2     1.47     1.63
MADDUX     6901     4485     1.66     63888.61     91.86     3.28     0.65     1.23     1.05     1.94
RINKER     6901     4485     1.66     63890.27     96.77     0.67     0.56     0.2     0.76     1.05
BURMEISTER     6903     4483     1.66     63891.93     96.68     0.25     0.45     0.38     0.83     1.43
FENWICK     6904     4482     1.66     63893.59     77.33     18.9     0.62     0.27     1.78     1.09
FORDE     6905     4480     1.66     63895.25     45.29     47.97     0.65     0.16     2.81     3.13
PETTWAY     6905     4480     1.66     63896.91     9.08     87.3     0.2     0.11     1.65     1.65
STOCKS     6905     4480     1.66     63898.57     81.63     15.2     0.33     0.51     1.07     1.25
BALDERRAMA     6908     4479     1.66     63900.23     7.88     0.18     1.7     0.25     0.65     89.35
WESTOVER     6908     4479     1.66     63901.89     95.71     0.25     0.4     0.49     1.14     2.01
BLOCH     6910     4478     1.66     63903.55     95.24     1.34     (S)     (S)     0.89     2.01
BURRESS     6910     4478     1.66     63905.21     81.24     15.45     0.51     0.51     1.34     0.94
FUTCH     6910     4478     1.66     63906.87     79.99     16.68     0.25     0.33     1.03     1.72
HUNLEY     6910     4478     1.66     63908.53     81.06     15.77     0.4     0.51     1.3     0.96
CHEE     6914     4477     1.66     63910.19     3.4     0.74     36.01     53.74     3.37     2.75
ALVARENGA     6915     4476     1.66     63911.85     5.32     0.78     0.13     0.11     1.12     92.54
BOSTWICK     6915     4476     1.66     63913.51     92.23     3.06     0.42     1.07     1.63     1.59
CLEAVER     6915     4476     1.66     63915.17     86.77     9.5     0.67     0.47     1.3     1.3
BRYCE     6918     4475     1.66     63916.83     82.48     12.49     0.56     0.34     2.06     2.08
PELKEY     6918     4475     1.66     63918.49     95.33     0.47     0.47     0.89     1.32     1.52
PISANO     6920     4474     1.66     63920.15     89.52     0.13     0.27     0.38     0.92     8.78
QURESHI     6921     4473     1.66     63921.81     7.18     0.45     78.36     0.2     12.14     1.68
VARGHESE     6922     4472     1.66     63923.46     1.97     (S)     92.91     0.45     4.34     (S)
CUNHA     6923     4469     1.66     63925.12     86.73     0.56     0.81     0.34     6.78     4.79
HELLMAN     6923     4469     1.66     63926.78     96.35     0.67     0.51     0.16     1.01     1.3
GRASS     6925     4468     1.66     63928.43     87.49     2.04     0.38     5.86     1.72     2.51
LUKER     6925     4468     1.66     63930.09     94.63     2.15     0.29     0.54     1.41     0.98
HAZELTON     6927     4467     1.66     63931.75     88.36     6.72     0.51     0.34     1.9     2.17
CATHCART     6928     4466     1.66     63933.4     80.63     14.46     1.03     0.43     1.57     1.88
YAMADA     6928     4466     1.66     63935.06     6.54     (S)     83.83     (S)     7.61     1.79
GALLEGO     6930     4465     1.66     63936.71     14.4     0.6     4.79     0.58     1.01     78.61
MENKE     6931     4463     1.65     63938.37     96.95     0.2     0.38     0.2     0.78     1.48
MERRIWEATHER     6931     4463     1.65     63940.02     6.3     89.58     0.2     0.27     2.58     1.08
YINGLING     6931     4463     1.65     63941.68     97.04     0.69     0.29     0.27     0.92     0.78
FLEURY     6934     4462     1.65     63943.33     80.52     11.7     0.49     2.44     2.8     2.04
BROOK     6935     4461     1.65     63944.98     80.56     14.75     0.65     0.52     1.88     1.64
METCALFE     6935     4461     1.65     63946.64     87.2     7.69     0.63     0.69     1.77     2.02
SALMERON     6935     4461     1.65     63948.29     4.24     0.38     0.2     0.2     0.43     94.55
FREITAG     6938     4459     1.65     63949.94     95.85     0.36     0.83     0.2     1.05     1.7
MALEK     6938     4459     1.65     63951.6     89.37     0.92     3.92     0.11     4.1     1.57
OBREGON     6940     4457     1.65     63953.25     8.12     0.36     0.72     0.29     0.43     90.08
BLAIN     6941     4456     1.65     63954.9     83.6     10.68     0.43     0.74     1.75     2.81
ALAM     6942     4455     1.65     63956.55     13.22     1.08     71.29     0.29     11.49     2.63
MELLOTT     6942     4455     1.65     63958.2     97.24     0.18     0.43     0.27     0.81     1.08
BESSETTE     6944     4454     1.65     63959.85     95.42     0.36     0.45     1.19     1.41     1.17
MONCRIEF     6945     4452     1.65     63961.5     74.15     22.51     0.31     0.27     1.17     1.59
ARVIZU     6946     4451     1.65     63963.15     6.85     0.2     0.25     0.27     0.31     92.11
BOTTS     6946     4451     1.65     63964.8     85.37     9.73     0.54     1.39     1.46     1.51
MOORER     6946     4451     1.65     63966.45     25.48     71.69     0.22     0.34     1.46     0.81
HULETT     6949     4450     1.65     63968.1     88.47     8.16     0.34     0.47     1.24     1.33
LANDRETH     6949     4450     1.65     63969.75     93.8     0.58     0.58     1.26     1.78     2
MARINELLI     6949     4450     1.65     63971.4     96.34     (S)     0.45     (S)     1.08     1.87
FALCO     6952     4449     1.65     63973.05     93.01     0.7     (S)     (S)     1.08     4.63
GOTTSCHALK     6953     4448     1.65     63974.7     96.31     0.49     0.36     0.31     0.99     1.53
SILVESTRI     6953     4448     1.65     63976.35     94.78     0.22     0.47     0.36     1.06     3.1
THIELE     6955     4447     1.65     63978     95.93     0.25     0.45     0.74     1.42     1.21
KIGHT     6956     4446     1.65     63979.65     89.25     7.15     0.56     0.34     1.6     1.1
HUCKABY     6957     4445     1.65     63981.29     81.91     13.81     0.47     0.9     1.66     1.24
LEDET     6957     4445     1.65     63982.94     68.5     27.09     0.13     0.74     1.37     2.16
WARRINGTON     6957     4445     1.65     63984.59     85.24     7.81     0.72     2.92     1.82     1.48
CHARBONNEAU     6960     4443     1.65     63986.24     93.97     0.16     0.72     1.82     1.89     1.44
CROZIER     6961     4442     1.65     63987.88     91.74     3.47     0.97     0.77     1.73     1.33
MOHAN     6962     4440     1.65     63989.53     51.06     4.28     34.28     0.38     8.63     1.37
BOLINGER     6963     4439     1.65     63991.17     96.24     0.54     0.16     0.65     1.22     1.19
DELVECCHIO     6963     4439     1.65     63992.82     97     (S)     0.29     (S)     0.88     1.51
STROH     6963     4439     1.65     63994.47     95.97     0.52     0.59     0.27     1.4     1.26
MACFARLANE     6966     4437     1.64     63996.11     94.48     1.62     0.47     0.38     1.35     1.69
CRIBBS     6967     4436     1.64     63997.76     82.37     13.62     0.45     0.5     1.6     1.47
MAYNOR     6968     4434     1.64     63999.4     57.98     22.42     0.23     14.75     2.75     1.87
MCLOUGHLIN     6968     4434     1.64     64001.04     96.05     0.54     0.45     0.14     1.17     1.65
MING     6968     4434     1.64     64002.69     54.98     22.49     16.13     0.65     3.45     2.3
DIGIOVANNI     6971     4433     1.64     64004.33     96.53     (S)     0.43     (S)     1.17     1.67
TRUESDALE     6972     4432     1.64     64005.97     59.54     37.86     0.14     0.18     1.17     1.11
BENN     6973     4431     1.64     64007.61     57.35     35.86     0.47     2.32     1.94     2.05
CHAPARRO     6973     4431     1.64     64009.26     5.87     (S)     (S)     0.36     0.38     93.07
ENGLERT     6973     4431     1.64     64010.9     97.65     (S)     0.18     (S)     0.74     1.2
PFEFFER     6973     4431     1.64     64012.54     96.12     0.29     0.61     0.2     0.84     1.94
OGLETREE     6977     4429     1.64     64014.18     51.95     44.3     0.38     0.45     1.78     1.13
SPANO     6977     4429     1.64     64015.83     95.71     0.38     0.41     0.2     1.35     1.94
YANCY     6977     4429     1.64     64017.47     41.48     53.65     0.41     0.29     2.19     1.99
HALLMARK     6980     4428     1.64     64019.11     93.97     0.25     0.38     1.24     1.76     2.39
SWICK     6980     4428     1.64     64020.75     95.39     0.14     0.45     1.6     1.13     1.29
MATTERN     6982     4427     1.64     64022.39     96.54     0.36     0.25     0.43     0.99     1.42
TRYON     6982     4427     1.64     64024.03     88.16     7.34     0.5     0.56     1.58     1.85
PLUMB     6984     4426     1.64     64025.67     95.32     0.93     0.52     0.56     1.2     1.47
MAN     6985     4425     1.64     64027.31     20.95     2.58     70.78     0.25     2.71     2.73
MARTINEAU     6985     4425     1.64     64028.95     90.46     2.26     0.56     2.06     2.51     2.15
GRUBE     6987     4424     1.64     64030.59     96.65     0.18     0.47     0.32     1.04     1.33
HOLST     6987     4424     1.64     64032.23     94.69     1.67     0.52     0.54     0.95     1.63
AIKENS     6989     4421     1.64     64033.87     46.14     49.45     0.25     1     2.13     1.04
BELDEN     6989     4421     1.64     64035.51     94.14     0.7     0.48     0.63     1.54     2.51
NEZ     6989     4421     1.64     64037.15     2.49     0.32     0.68     93.33     1.13     2.06
LITTON     6992     4420     1.64     64038.79     94.8     1.58     0.61     0.32     1.11     1.58
MOORHEAD     6992     4420     1.64     64040.43     93.64     2.51     0.59     0.34     1.29     1.63
BONNEY     6994     4419     1.64     64042.07     80.81     10.73     0.59     1.43     1.52     4.93
DUFRESNE     6994     4419     1.64     64043.7     92.17     3.62     0.59     0.7     1.61     1.31
HEYWARD     6994     4419     1.64     64045.34     14.1     82.8     0.14     0.23     1.63     1.11
HALLIDAY     6997     4418     1.64     64046.98     92.39     4.05     0.43     0.25     1.04     1.83
ITO     6998     4417     1.64     64048.62     5.86     0.41     85.71     0.14     5.16     2.72
CROSSMAN     6999     4416     1.64     64050.25     93.91     2.11     0.43     0.36     1.15     2.04
GAST     7000     4415     1.64     64051.89     96.49     0.43     0.36     0.5     0.93     1.29
LEVAN     7001     4414     1.64     64053.53     91.8     1.81     4.03     0.23     0.79     1.34
WINE     7001     4414     1.64     64055.16     89.37     6.89     0.68     0.5     1.61     0.95
DESOUZA     7003     4413     1.64     64056.8     44.98     15.64     13.19     0.23     15.16     10.81
KORNEGAY     7003     4413     1.64     64058.44     53.12     43.78     0.18     0.23     1.38     1.31
NAM     7005     4412     1.64     64060.07     3.56     1.07     92.77     (S)     1.88     (S)
DICKENSON     7006     4411     1.64     64061.71     85.38     8.18     0.52     2.11     1.56     2.24
KEOUGH     7006     4411     1.64     64063.34     95.65     0.73     0.66     0.54     1     1.43
OUSLEY     7006     4411     1.64     64064.98     68.24     29.18     0.14     0.39     0.93     1.13
STOTTS     7006     4411     1.64     64066.61     87.51     7.66     0.34     1.07     1.59     1.84
LEDUC     7010     4410     1.63     64068.25     92.88     0.29     1.43     0.27     1.43     3.7
REVELS     7010     4410     1.63     64069.88     54.56     26.71     0.57     13.65     2.88     1.63
DIZON     7012     4409     1.63     64071.52     6.08     (S)     84.37     (S)     5.35     3.18
ALEGRIA     7013     4406     1.63     64073.15     7.38     0.57     1.52     0.43     0.61     89.49
ARREGUIN     7013     4406     1.63     64074.78     5.56     0.23     (S)     0.3     (S)     93.83
BLADES     7013     4406     1.63     64076.42     82.39     12.91     0.41     0.3     1.48     2.52
SHOCKEY     7013     4406     1.63     64078.05     95.98     0.36     0.36     0.57     1.13     1.59
IGNACIO     7017     4405     1.63     64079.68     9.58     0.98     59.8     3.9     5.24     20.5
MELLON     7018     4404     1.63     64081.31     91.83     4.7     0.41     0.5     1.04     1.52
EBERSOLE     7019     4402     1.63     64082.95     96.71     0.39     0.66     0.16     0.98     1.11
SAIN     7019     4402     1.63     64084.58     73.58     18.83     3.38     0.48     1.54     2.18
WEISSMAN     7021     4401     1.63     64086.21     97.02     (S)     0.41     (S)     0.57     1.77
CLAYPOOL     7022     4400     1.63     64087.84     92.27     4.16     0.73     0.3     1.27     1.27
WARGO     7022     4400     1.63     64089.47     97.36     0.16     0.41     0.32     0.8     0.95
JULIEN     7024     4399     1.63     64091.1     45.65     45.69     0.66     0.52     3.77     3.71
ZORN     7024     4399     1.63     64092.73     94.86     2.18     0.34     0.27     0.89     1.45
ALBERTO     7026     4398     1.63     64094.36     21.15     1.05     11.89     0.14     1.11     64.67
HINSHAW     7026     4398     1.63     64095.99     94.18     0.86     0.84     1.09     1.14     1.89
GARDUNO     7028     4397     1.63     64097.62     7.1     0.16     0.43     0.3     0.25     91.77
KELLAR     7029     4396     1.63     64099.25     92.38     3.69     0.64     0.39     1.23     1.68
RIZO     7030     4395     1.63     64100.88     6.08     0.41     0.36     0.25     0.18     92.72
DOWNER     7031     4393     1.63     64102.51     73.44     22.29     0.46     0.36     1.68     1.78
HUMBLE     7031     4393     1.63     64104.14     90.71     5.55     0.48     0.55     1.02     1.68
LABONTE     7031     4393     1.63     64105.77     94.76     1.41     0.41     0.61     1.23     1.57
LYKINS     7034     4392     1.63     64107.4     96.95     0.39     0.16     0.39     0.89     1.23
TOWER     7034     4392     1.63     64109.02     93.35     3.05     0.57     0.39     1.07     1.57
CHAIREZ     7036     4391     1.63     64110.65     2.39     (S)     (S)     0.14     0.2     97.13
VANHOUTEN     7036     4391     1.63     64112.28     96.31     0.46     0.57     0.14     1.16     1.37
BLIZZARD     7038     4389     1.63     64113.91     86.24     9.93     0.23     0.59     1.98     1.03
CAMPA     7038     4389     1.63     64115.53     13.81     0.59     0.73     0.48     0.57     83.82
STANDLEY     7040     4388     1.63     64117.16     89.02     6.56     0.71     0.73     1.37     1.62
REISER     7041     4387     1.63     64118.79     97.52     0.25     0.32     0.18     0.8     0.93
MENEFEE     7042     4386     1.63     64120.41     61.63     33.61     0.36     0.66     1.87     1.87
WHITENER     7042     4386     1.63     64122.04     84.29     10.72     0.32     1.73     1.66     1.28
NALLEY     7044     4385     1.63     64123.66     93.45     2.81     0.5     0.75     1.16     1.32
LASHER     7045     4384     1.63     64125.29     95.42     (S)     0.78     (S)     1.44     1.62
STRANG     7046     4381     1.62     64126.91     94.48     0.75     0.89     0.59     1.35     1.94
SMOCK     7047     4380     1.62     64128.54     95.25     1.44     0.32     0.66     1.07     1.26
MORALEZ     7048     4378     1.62     64130.16     5.92     0.64     0.37     0.41     0.5     92.17
KIEL     7049     4377     1.62     64131.78     89.38     7.4     1.01     0.32     0.94     0.96
MOFFATT     7049     4377     1.62     64133.4     86.59     9.34     0.39     0.43     1.33     1.92
BEHM     7051     4375     1.62     64135.03     97.55     0.23     0.3     0.16     0.64     1.12
HACKWORTH     7051     4375     1.62     64136.65     85.9     10.51     0.53     0.46     1.28     1.33
DIRKS     7053     4374     1.62     64138.27     93.28     3.11     0.57     0.94     1.07     1.03
KRATZ     7054     4373     1.62     64139.89     96.5     0.37     0.5     0.23     0.87     1.53
GUILLOT     7055     4371     1.62     64141.51     91.1     3.32     0.39     0.37     0.96     3.87
SEYMORE     7056     4370     1.62     64143.13     53.91     42.63     0.18     0.5     1.42     1.35
STLOUIS     7056     4370     1.62     64144.75     54.07     36.8     0.39     0.76     5.88     2.11
TITTLE     7056     4370     1.62     64146.37     90.09     6.38     0.25     0.62     1.44     1.21
SEARLE     7059     4369     1.62     64147.99     95.97     0.27     0.66     0.3     1.08     1.72
UTTER     7059     4369     1.62     64149.61     95.65     0.43     0.53     0.71     1.28     1.4
DORTCH     7061     4368     1.62     64151.23     36.56     60.14     0.25     0.16     1.65     1.24
WILBORN     7061     4368     1.62     64152.85     49.31     46.11     0.27     0.18     1.47     2.66
ARAMBULA     7063     4367     1.62     64154.47     4.83     (S)     1.56     (S)     0.53     92.88
CARDINAL     7063     4367     1.62     64156.09     94.07     1.08     0.85     0.92     1.4     1.69
DURON     7063     4367     1.62     64157.7     13.26     0.82     0.39     0.21     0.53     84.8
SPIKES     7063     4367     1.62     64159.32     39.78     55.62     0.27     0.44     2.22     1.67
CUTTER     7067     4365     1.62     64160.94     87.47     7.88     0.46     1.28     1.42     1.49
BEDWELL     7068     4363     1.62     64162.56     95.74     0.83     0.25     0.71     1.21     1.26
BOTELHO     7068     4363     1.62     64164.18     86.29     0.64     2.77     0.34     6.9     3.05
BOTTOMS     7068     4363     1.62     64165.79     86.29     9.26     0.37     0.87     1.83     1.38
DIBENEDETTO     7068     4363     1.62     64167.41     96.42     0.34     0.21     0.14     0.8     2.09
KILBY     7068     4363     1.62     64169.03     91.06     6.03     0.23     0.32     0.87     1.49
BILODEAU     7073     4362     1.62     64170.64     96.31     (S)     0.62     (S)     1.4     1.26
CASSADY     7073     4362     1.62     64172.26     94.18     2.06     0.62     0.39     1.31     1.44
MARKOWITZ     7073     4362     1.62     64173.88     96.54     (S)     0.48     (S)     0.96     1.77
ROTHWELL     7073     4362     1.62     64175.5     88.17     7.57     0.55     0.39     1.65     1.67
BAUCOM     7077     4360     1.62     64177.11     90.34     6.49     0.21     0.67     1.31     0.99
ESQUEDA     7077     4360     1.62     64178.73     3.88     (S)     (S)     0.18     0.46     95.3
VALLEY     7077     4360     1.62     64180.34     83.21     8.74     0.76     1.77     1.95     3.58
DEPALMA     7080     4357     1.62     64181.96     95.5     0.18     0.39     0.16     0.94     2.82
CASALE     7081     4356     1.61     64183.57     96.21     (S)     0.39     (S)     1.01     2.2
HOPP     7081     4356     1.61     64185.19     95.94     1.06     0.46     0.37     0.67     1.52
LASKOWSKI     7081     4356     1.61     64186.8     96.99     0.16     0.37     0.16     0.94     1.38
PERREAULT     7084     4355     1.61     64188.42     97.27     0.46     0.32     0.16     1.03     0.76
SHUSTER     7085     4353     1.61     64190.03     96.23     0.23     0.57     0.37     1.17     1.42
WOLTER     7085     4353     1.61     64191.65     96.78     0.32     0.85     0.28     0.76     1.01
CYRUS     7087     4352     1.61     64193.26     58.71     35.75     0.53     0.55     2.44     2.02
RABY     7087     4352     1.61     64194.87     82.93     12.66     0.32     1.36     1.31     1.42
TSENG     7087     4352     1.61     64196.49     1.36     (S)     94.83     (S)     3.22     0.48
GEORGES     7090     4350     1.61     64198.1     53.7     36.57     0.39     0.16     5.72     3.45
DAS     7091     4348     1.61     64199.71     17.32     1.08     72.06     0.23     8     1.31
WILFONG     7091     4348     1.61     64201.32     91.03     5.7     0.25     0.69     1.17     1.15
MCINERNEY     7093     4346     1.61     64202.93     96.92     (S)     0.37     (S)     0.92     1.36
SCHLUETER     7093     4346     1.61     64204.54     97.54     0.25     0.35     0.25     0.64     0.97
STICKNEY     7093     4346     1.61     64206.15     95.24     1.68     0.55     0.71     0.9     0.92
WOOLF     7093     4346     1.61     64207.77     95.44     0.87     0.41     0.51     1.04     1.73
CURCIO     7097     4344     1.61     64209.38     95.26     0.35     0.55     0.23     0.67     2.95
FOWLKES     7098     4343     1.61     64210.99     42.78     53.24     0.18     0.41     1.77     1.61
BOLDT     7099     4342     1.61     64212.6     96.64     0.46     0.39     0.48     0.88     1.15
SHROPSHIRE     7099     4342     1.61     64214.21     56.89     37.63     0.37     0.69     2.97     1.45
ZANDER     7099     4342     1.61     64215.81     93.94     2.79     0.3     0.44     0.97     1.57
ANTONELLI     7102     4339     1.61     64217.42     95.94     0.37     (S)     (S)     1.04     2.44
FROEHLICH     7103     4338     1.61     64219.03     97.33     0.16     0.39     0.39     0.78     0.95
BUTTERWORTH     7104     4336     1.61     64220.64     96.29     1.01     0.25     0.37     0.81     1.27
STEDMAN     7104     4336     1.61     64222.25     93.63     2.31     0.39     0.69     1.25     1.73
BROADNAX     7106     4335     1.61     64223.85     5.14     90.91     0.25     0.16     2.54     0.99
KROEGER     7106     4335     1.61     64225.46     96.89     (S)     0.53     (S)     0.97     1.36
KELLNER     7108     4334     1.61     64227.07     96.38     0.23     0.88     0.14     0.99     1.38
MONREAL     7108     4334     1.61     64228.67     9.6     0.42     1.22     0.37     0.23     88.16
ARMAS     7110     4333     1.61     64230.28     14.84     0.6     4.41     0.39     0.78     78.98
MCGUINNESS     7110     4333     1.61     64231.89     94.67     (S)     0.74     (S)     1.29     2.93
CANTERBURY     7112     4332     1.61     64233.49     94.97     2.01     0.37     0.32     1.11     1.22
WEISMAN     7112     4332     1.61     64235.1     97.18     (S)     0.42     (S)     0.99     1.13
HILBURN     7114     4331     1.61     64236.7     86.52     5.56     0.18     1.64     1.69     4.41
CARRUTHERS     7115     4330     1.61     64238.31     68.15     26.84     0.79     0.3     2.03     1.89
PEELE     7116     4329     1.6     64239.91     63.85     31.53     0.21     1.18     1.5     1.73
PELL     7116     4329     1.6     64241.52     93.46     2.03     0.72     0.37     1.02     2.4
DEVANEY     7118     4328     1.6     64243.12     95.68     0.25     0.76     0.6     1.46     1.25
OWINGS     7118     4328     1.6     64244.73     92.98     2.1     0.6     1.18     1.69     1.46
LIGGETT     7120     4327     1.6     64246.33     92.6     4.02     0.42     0.44     0.92     1.59
MAR     7120     4327     1.6     64247.93     14.17     2.31     58.01     0.32     4.16     21.03
AGUILA     7122     4326     1.6     64249.54     7.35     0.42     12.46     0.14     1.04     78.59
BRESLIN     7122     4326     1.6     64251.14     96.02     0.12     0.55     0.32     1.48     1.5
SOUCY     7122     4326     1.6     64252.75     96.95     0.3     0.46     0.37     1.13     0.79
MINGO     7125     4325     1.6     64254.35     26.36     66.27     0.25     2.8     1.99     2.34
WEIDMAN     7125     4325     1.6     64255.95     96.18     1.36     0.51     0.25     0.92     0.76
TARANGO     7127     4324     1.6     64257.55     6.01     0.23     0.19     0.65     0.21     92.72
WINGER     7127     4324     1.6     64259.16     95.51     1.5     0.3     0.42     0.97     1.3
ACREE     7129     4322     1.6     64260.76     80.8     16.01     (S)     (S)     1.32     1.06
POTEET     7129     4322     1.6     64262.36     93.36     1.09     0.44     1.48     1.62     2.01
LEATHERWOOD     7131     4321     1.6     64263.96     78.15     17.29     0.25     0.9     1.64     1.76
MCNEW     7131     4321     1.6     64265.57     95.86     0.6     0.35     0.44     1.41     1.34
AUBREY     7133     4320     1.6     64267.17     76.64     16.6     0.49     1.92     2.45     1.9
WARING     7133     4320     1.6     64268.77     75.86     20.6     0.53     0.14     1.64     1.23
ROOF     7135     4319     1.6     64270.37     95.23     1.07     0.65     0.97     1.11     0.97
SOLER     7135     4319     1.6     64271.97     18.75     0.93     1.32     (S)     (S)     78.21
BLACKFORD     7137     4316     1.6     64273.57     92.56     4.08     0.3     0.7     1.37     1
SUNDERLAND     7137     4316     1.6     64275.17     94.28     1.62     0.49     0.3     1.55     1.76
HEPLER     7139     4315     1.6     64276.77     97.15     0.46     0.39     0.42     0.46     1.11
LEONARDO     7139     4315     1.6     64278.37     57.43     0.65     8.83     0.21     2.02     30.87
RABE     7139     4315     1.6     64279.97     92.19     0.44     3.82     0.14     1.04     2.36
ALEX     7142     4314     1.6     64281.57     58.92     21.49     9.32     3.01     2.39     4.87
SMYTHE     7142     4314     1.6     64283.17     84.33     7.83     1.83     0.58     3.01     2.41
SPINA     7142     4314     1.6     64284.77     94.58     0.37     0.46     0.19     0.97     3.43
BARTA     7145     4313     1.6     64286.37     95.36     0.49     0.56     0.56     0.9     2.13
BYBEE     7145     4313     1.6     64287.96     93.93     1.67     0.49     1.02     1.11     1.79
CAMPAGNA     7147     4312     1.6     64289.56     95.32     0.19     0.6     0.26     0.81     2.83
PETE     7147     4312     1.6     64291.16     29.59     45.06     0.56     20.34     2.5     1.95
